time,latitude,longitude,depth,mag,magType,nst,gap,dmin,rms,net,id,updated,place,type,horizontalError,depthError,magError,magNst,status,locationSource,magSource
2019-12-30T03:13:43.010Z,17.9245,-68.5065,94,2.84,md,3,348,1.3993,0.02,pr,pr2019364047,2019-12-31T01:33:51.224Z,"51km SSE of Boca de Yuma, Dominican Republic",earthquake,4.08,3.69,0.47,2,reviewed,pr,pr
2019-12-30T03:01:14.324Z,32.0376,-103.7621,5,2.5,ml,,41,0.246,0.21,us,us70006sbn,2019-12-30T05:00:40.040Z,"39km NNW of Mentone, Texas",earthquake,0.9,1.9,0.105,12,reviewed,us,us
2019-12-30T02:23:56.040Z,19.068,-67.7558,38,2.68,md,7,330,0.881,0.24,pr,pr2019364032,2019-12-30T22:52:24.040Z,"70km NW of San Antonio, Puerto Rico",earthquake,2.09,12.85,0.05,3,reviewed,pr,pr
2019-12-30T02:02:21.711Z,65.8708,-148.0923,60.2,2.5,ml,,,,0.56,ak,ak019gq0to9w,2019-12-30T04:04:35.818Z,"113km N of College, Alaska",earthquake,,1.4,,,automatic,ak,ak
2019-12-30T02:02:00.085Z,66.1848,-148.0259,37,2.5,ml,,,,0.59,ak,ak019gq0tj8u,2019-12-30T04:08:21.819Z,"130km WSW of Fort Yukon, Alaska",earthquake,,6.6,,,automatic,ak,ak
2019-12-30T01:59:00.360Z,17.8488,-66.8143,4,2.97,md,9,257,0.142,0.22,pr,pr2019364001,2019-12-30T02:34:25.708Z,"16km SE of Guanica, Puerto Rico",earthquake,1.72,0.86,0.24,8,reviewed,pr,pr
2019-12-30T01:45:36.550Z,17.915,-66.8675,5,3.12,md,14,215,0.0612,0.08,pr,pr2019364000,2019-12-30T15:00:38.169Z,"12km SSE of Guanica, Puerto Rico",earthquake,0.62,0.36,0.32,12,reviewed,pr,pr
2019-12-30T01:36:21.290Z,19.2456,-66.5431,73,2.76,md,3,355,1.1996,0.17,pr,pr2019364023,2019-12-30T21:05:22.740Z,"86km N of Tierras Nuevas Poniente, Puerto Rico",earthquake,10.24,11.07,0.21,3,reviewed,pr,pr
2019-12-30T01:27:53.960Z,19.253,-67.5668,10,2.89,md,5,339,0.9081,0.44,pr,pr2019364030,2019-12-30T21:51:15.927Z,"97km NNW of San Antonio, Puerto Rico",earthquake,5.88,31.61,0.09,4,reviewed,pr,pr
2019-12-30T01:19:04.380Z,38.0806656,-118.8611679,0.68,2.95,md,31,160,0.397,0.07,nc,nc73321231,2019-12-31T02:08:44.969Z,"20km SE of Bodie, CA",earthquake,0.44,8.36,0.2,26,automatic,nc,nc
2019-12-30T01:13:44.330Z,19.0218,-67.7195,63,2.61,md,4,328,1.057,0.26,pr,pr2019364022,2019-12-30T21:04:35.740Z,"87km NE of Punta Cana, Dominican Republic",earthquake,5.86,13.78,0.26,4,reviewed,pr,pr
2019-12-30T00:52:30.193Z,35.8128,77.6114,10,4.1,mb,,111,4.176,0.84,us,us70006sb0,2019-12-30T18:24:24.718Z,"126km NE of Thang, India",earthquake,9.2,1.9,0.093,32,reviewed,us,us
2019-12-30T00:32:52.238Z,27.8138,142.8402,11.04,4.9,mb,,71,0.922,0.6,us,us70006sb2,2019-12-30T01:25:56.040Z,"101km NE of Chichi-shima, Japan",earthquake,6.9,3.7,0.062,82,reviewed,us,us
2019-12-30T00:06:11.670Z,19.3875,-66.9536,50,2.73,md,3,357,1.2189,0.09,pr,pr2019364018,2019-12-30T19:48:24.175Z,"98km N of Isabela, Puerto Rico",earthquake,7.13,7.67,0.4,3,reviewed,pr,pr
2019-12-30T00:02:27.540Z,19.0161,-64.9755,29,3.4,md,7,335,1.2355,0.29,pr,pr2019364016,2019-12-30T21:45:46.040Z,"70km N of Charlotte Amalie, U.S. Virgin Islands",earthquake,3.33,21.65,0.13,6,reviewed,pr,pr
2019-12-29T23:30:14.140Z,17.8945,-66.8098,6,3.2,md,13,219,0.1064,0.25,pr,pr2019363124,2019-12-30T00:44:35.982Z,"10km S of Indios, Puerto Rico",earthquake,1.05,0.65,0.26,11,reviewed,pr,pr
2019-12-29T23:25:26.400Z,19.2328,-67.6386,23,2.74,md,7,329,0.9294,0.27,pr,pr2019363198,2019-12-30T21:38:53.040Z,"86km NW of San Antonio, Puerto Rico",earthquake,2.31,22.18,0.36,7,reviewed,pr,pr
2019-12-29T22:19:43.460Z,19.0898,-67.7228,50,2.98,md,10,319,0.7462,0.43,pr,pr2019363195,2019-12-30T18:42:17.532Z,"91km NE of Punta Cana, Dominican Republic",earthquake,4.36,15.34,0.32,8,reviewed,pr,pr
2019-12-29T22:05:35.250Z,19.0725002,-155.2348328,28.5,2.57,ml,51,250,0.2079,0.12,hv,hv71308417,2019-12-29T22:11:14.670Z,"29km ESE of Pahala, Hawaii",earthquake,0.83,1.29,5.22,3,automatic,hv,hv
2019-12-29T22:00:06.510Z,19.221,-67.6276,39,2.97,md,6,329,1.1773,0.38,pr,pr2019363191,2019-12-30T17:32:47.815Z,"98km NW of San Antonio, Puerto Rico",earthquake,4.09,24.11,0.17,4,reviewed,pr,pr
2019-12-29T21:50:00.630Z,17.9076,-66.8508,7,2.74,md,14,217,0.0732,0.12,pr,pr2019363117,2019-12-30T17:33:01.039Z,"13km SSE of Guanica, Puerto Rico",earthquake,0.58,0.33,0.34,13,reviewed,pr,pr
2019-12-29T21:33:00.026Z,69.6573,-144.3002,2.3,3.4,ml,,,,0.64,ak,ak019goos2hj,2019-12-30T00:09:30.040Z,"58km SSW of Kaktovik, Alaska",earthquake,,0.9,,,automatic,ak,ak
2019-12-29T20:43:54.320Z,17.9113,-66.829,7,2.61,md,14,214,0.0812,0.12,pr,pr2019363106,2019-12-29T21:38:24.721Z,"9km S of Indios, Puerto Rico",earthquake,0.69,0.4,0.38,14,reviewed,pr,pr
2019-12-29T19:24:57.850Z,19.3331,-67.506,30,2.73,md,5,339,0.9514,0.24,pr,pr2019363177,2019-12-30T14:35:39.804Z,"102km NNW of San Antonio, Puerto Rico",earthquake,3.49,16.84,0.08,4,reviewed,pr,pr
2019-12-29T18:24:41.589Z,-52.8544,11.3526,10,5.3,mww,,89,19.897,1.07,us,us70006s89,2019-12-30T18:59:40.040Z,"Southwest of Africa",earthquake,13.1,1.8,0.073,18,reviewed,us,us
2019-12-29T17:55:23.945Z,-22.3258,-68.851,112.63,4.3,mb,,77,0.639,0.87,us,us70006s85,2019-12-30T08:18:27.436Z,"17km NNE of Calama, Chile",earthquake,5.9,6.3,0.375,2,reviewed,us,us
2019-12-29T17:03:50.460Z,17.9031,-66.8555,3,3.4,md,14,216,0.0758,0.24,pr,pr2019363055,2019-12-30T00:45:26.764Z,"14km SSE of Guanica, Puerto Rico",earthquake,0.85,0.54,0.2,10,reviewed,pr,pr
2019-12-29T16:56:04.632Z,66.3328,-157.2433,1,2.5,ml,,,,0.55,ak,ak019golxxej,2019-12-29T20:10:03.040Z,"66km SSW of Kobuk, Alaska",earthquake,,0.4,,,automatic,ak,ak
2019-12-29T16:29:20.446Z,31.7405,-104.1466,5,2.7,mb_lg,,64,0.216,0.28,us,us70006s7r,2019-12-29T16:57:54.040Z,"52km W of Mentone, Texas",earthquake,1.3,1.9,0.111,35,reviewed,us,us
2019-12-29T16:24:45.775Z,-6.3622,154.9449,35,4.9,mb,,100,8.282,0.82,us,us70006s7s,2019-12-29T16:48:53.040Z,"59km W of Panguna, Papua New Guinea",earthquake,10.2,2,0.078,51,reviewed,us,us
2019-12-29T16:06:25.247Z,65.2665,-163.0021,10,2.8,ml,,79,0.3,0.43,us,us70006s7p,2019-12-29T17:04:24.040Z,"142km NE of Nome, Alaska",earthquake,4.7,2,0.06,36,reviewed,us,us
2019-12-29T14:39:27.181Z,51.994,153.6067,388.2,4.4,mb,,129,2.736,0.6,us,us70006s77,2019-12-29T15:23:50.040Z,"208km WNW of Ozernovskiy, Russia",earthquake,13,9.1,0.04,178,reviewed,us,us
2019-12-29T14:37:44.770Z,63.1081,-151.4653,1,2.7,ml,,,,0.76,ak,ak019gokn2ow,2019-12-29T15:07:42.040Z,"111km NW of Talkeetna, Alaska",earthquake,,0.3,,,automatic,ak,ak
2019-12-29T14:31:25.289Z,58.8545,-152.3654,36.8,2.6,ml,,,,0.53,ak,ak019goklqvi,2019-12-29T20:04:09.040Z,"99km SSW of Homer, Alaska",earthquake,,1.2,,,automatic,ak,ak
2019-12-29T14:23:29.990Z,17.8966,-66.5895,11,2.66,md,12,210,0.1471,0.24,pr,pr2019363155,2019-12-30T12:10:53.470Z,"12km SSE of Ponce, Puerto Rico",earthquake,0.68,0.76,0.12,9,reviewed,pr,pr
2019-12-29T14:12:18.980Z,18.868,-65.4493,27,2.65,md,4,330,0.8286,0.18,pr,pr2019363169,2019-12-30T11:36:56.904Z,"61km NNE of Luquillo, Puerto Rico",earthquake,2.14,15.28,0.34,4,reviewed,pr,pr
2019-12-29T14:06:19.102Z,-24.3121,-68.9152,110.59,4,ml,,136,1.046,0.72,us,us70006s70,2019-12-29T20:02:23.040Z,"167km ESE of Antofagasta, Chile",earthquake,6.8,15.1,0.059,38,reviewed,us,us
2019-12-29T13:59:02.340Z,-5.5339,151.7363,35,5.1,mb,,91,5.57,0.78,us,us70006s6z,2019-12-29T15:45:00.040Z,"143km SSW of Kokopo, Papua New Guinea",earthquake,9.6,2,0.047,148,reviewed,us,us
2019-12-29T13:18:06.464Z,4.4091,125.1504,65.42,4.7,mb,,88,2.677,1.16,us,us70006s6j,2019-12-29T14:11:18.040Z,"115km SSW of Sarangani, Philippines",earthquake,8.4,8.2,0.09,38,reviewed,us,us
2019-12-29T12:03:55.928Z,4.6257,125.3181,49.65,4.8,mb,,94,2.441,0.64,us,us70006s64,2019-12-29T12:52:40.040Z,"87km S of Sarangani, Philippines",earthquake,5.6,7.7,0.069,65,reviewed,us,us
2019-12-29T11:26:44.610Z,17.9073,-66.8258,6,3.01,md,13,215,0.0863,0.1,pr,pr2019363033,2019-12-29T11:56:36.150Z,"9km S of Indios, Puerto Rico",earthquake,0.57,0.37,0.11,11,reviewed,pr,pr
2019-12-29T11:25:23.524Z,55.1467,160.6628,118.92,4.5,mb,,79,2.435,0.47,us,us70006s5t,2019-12-29T13:13:21.040Z,"151km SE of Esso, Russia",earthquake,10.4,7.6,0.042,169,reviewed,us,us
2019-12-29T11:21:54.840Z,19.2285,-67.7888,32,3.16,md,12,319,0.8991,0.51,pr,pr2019363157,2019-12-30T11:30:23.736Z,"96km NE of Punta Cana, Dominican Republic",earthquake,3.43,30.87,0.29,12,reviewed,pr,pr
2019-12-29T11:20:09.383Z,40.3223,42.1121,10,4.4,mb,,73,0.804,0.61,us,us70006s5q,2019-12-29T14:57:38.339Z,"20km E of Narman, Turkey",earthquake,4.8,1.9,0.13,17,reviewed,us,us
2019-12-29T11:19:10.510Z,17.898,-66.867,6,2.71,md,14,221,0.0781,0.14,pr,pr2019363032,2019-12-29T11:53:25.040Z,"16km SSE of Guanica, Puerto Rico",earthquake,0.74,0.37,0.41,13,reviewed,pr,pr
2019-12-29T10:28:31.050Z,17.916,-66.8335,6,2.73,md,10,226,0.0747,0.26,pr,pr2019363153,2019-12-30T09:53:40.839Z,"8km S of Indios, Puerto Rico",earthquake,1.09,0.62,0.28,8,reviewed,pr,pr
2019-12-29T10:22:07.551Z,13.8109,-92.8478,10,4.4,mb,,199,1.324,0.8,us,us70006s5i,2019-12-29T12:03:05.040Z,"104km SW of Ocos, Guatemala",earthquake,9.6,2,0.062,76,reviewed,us,us
